"IDSite";"NomSite";"NumSite";"Type";"Commune";"Departement";"Coord.Value";"Latitude";"Longitude";"MetriqueX";"MetriqueY"
"DLPECK-0";"Dolmen du Pech (A)";"32246";"Dolmen";"Alvignac";"46";" N44.8404294 E1.6813488";"44.8404294";"1.6813488";"548172,41567882";"1982403,44232846"
"DLPECL-0";"Dolmen du Pech (D)";"32247";"Dolmen";"Alvignac";"46";" N44.8409088 E1.6785095";"44.8409088";"1.6785095";"547948,276491798";"1982458,61820286"
"DLPECMX0";"Dolmen du Pech de Tibouyé (C)";"32258";"Dolmen";"Cabrerets";"46";" N44.5069 E1.65528";"44.5069";"1.65528";"545788,658562106";"1945337,91258095"
"DLPECN-0";"Dolmen du Pech de Gourbières (A)";"32259";"Dolmen";"Rocamadour";"46";" N44.8317414 E1.5927248";"44.8317414";"1.5927248";"541153,227941261";"1981500,00190627"
"DLPECO 0";"Dolmen du Pech de Gourbières (B)";"32260";"Dolmen";"Rocamadour";"46";" N44.8319433 E1.5926497";"44.8319433";"1.5926497";"541147,499378532";"1981522,50446686"
"DLPECPX0";"Dolmen du Pech de Molinié (B)";"32261";"Dolmen";"Larroque-Toirac";"46";" N44.5225 E1.9425";"44.5225";"1.9425";"568651.95345426";"1946916,02282447"
"DLPECQ 0";"Dolmen du Pech de la Barre";"32262";"Dolmen";"Cabrerets";"46";" N44.50935 E1.591041";"44.50935";"1.591041";"540679,726592378";"1945656,77014259"
"DLPECR+3";"Dolmen du Pech de la Curado";"32266";"Dolmen";"Carayac";"46";" N44.5303333 E1.92425";"44.5303333";"1.92425";"567204,733346875";"1947794,49938831"
"DLPECSX0";"Dolmen de la Péchette";"32279";"Dolmen";"Montfaucon";"46";" N44.6889 E1.56167";"44.6889";"1.56167";"538539,768462232";"1965642,9085967"
"DLPEN5+2";"Dolmen dit des Pendus (C)";"32843";"Dolmen";"Padirac";"46";" N44.8558056 E1.75675";"44.8558056";"1.75675";"554149,225735448";"1984066,00595247"
"DLPEND+2";"Dolmen dit des Pendus";"11626";"Dolmen";"Padirac";"46";" N44.8544167 E1.7553889";"44.8544167";"1.7553889";"554040,449789294";"1983912,38925581"
"DLPEYC*4";"Dolmen de Peyco Levado";"9407";"Dolmen";"Laramière";"46";" N44.35024 E1.84437";"44.35024";"1.84437";"560725,576857718";"1927805,00714265"
"DLPEYS-2";"Dolmen dit Peyro Lebado";"31729";"Dolmen";"Larnagol";"46";" N44.4923202 E1.7514636";"44.4923202";"1.7514636";"553430,003881186";"1943655,00450935"
"DLPEYU-3";"Dolmen dit la Peyre Levade";"31777";"Dolmen";"Calvignac";"46";" N44.4231733 E1.7836797";"44.4231733";"1.7836797";"555940,003025681";"1935947,50242756"
"DLPI16-4";"Dolmen dit la Pierre-Levée";"9410";"Dolmen";"Lentillac-du-Causse";"46";" N44.55318 E1.6477";"44.55318";"1.6477";"545230,657251738";"1950489,10527436"
"DLPI19-3";"Dolmen dit la Pierre-Levée";"11623";"Dolmen";"Lalbenque";"46";" N44.32524 E1.57635";"44.32524";"1.57635";"539312,630920146";"1925195,52963174"
"DLPI20+4";"Dolmen dit la Pierre-Levée";"11631";"Dolmen";"Miers";"46";" N44.8688 E1.68375";"44.8688";"1.68375";"548388,571769439";"1985555,97182937"
"DLPLAC+3";"Dolmen de Mages";"9420";"Dolmen";"Rocamadour";"46";" N44.78678 E1.6133";"44.78678";"1.6133";"542734,905125657";"1976486,14315325"
"DLPLAF+3";"Dolmen de Place del Sol";"30324";"Dolmen";"Espédaillac";"46";" N44.64466 E1.78073";"44.64466";"1.78073";"555879,306897829";"1960576,83947354"
"DLPLAP-0";"Dolmen des Placels";"31824";"Dolmen";"Montvalent";"46";" N44.8507862 E1.6443057";"44.8507862";"1.6443057";"545252,498863361";"1983580,00326944"
"DLPLAS+2";"Dolmen des Plassous";"9401";"Dolmen";"Gramat";"46";" N44.7729722 E1.6894722";"44.7729722";"1.6894722";"548753,16197911";"1974898,38276698"
"DLPLAU-3";"Dolmen des Plantoux";"32216";"Dolmen";"Rocamadour";"46";" N44.82925 E1.6512778";"44.82925";"1.6512778";"545782,985510758";"1981180,86631913"
"DLPLAV 0";"Dolmen de Pélasse";"32255";"Dolmen";"Montvalent";"46";" N44.861129 E1.630039";"44.861129";"1.630039";"544134,576901589";"1984739,90944079"
"DLPOU3+2";"Dolmen de Pourquayré";"32269";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.5542778 E1.7951111";"44.5542778";"1.7951111";"556951.519833665";"1950519,34625447"
"DLPOUG-0";"Dolmen du Pouget";"28542";"Dolmen";"Boussac";"46";" N44.5948619 E1.9022491";"44.5948619";"1.9022491";"565494,503519778";"1954979,00412068"
"DLPRA3X0";"Dolmen des Pradines";"32263";"Dolmen";"Cadrieu";"46";" N44.4928 E1.88056";"44.4928";"1.88056";"563705,416347291";"1943640,22040351"
"DLPRLI-0";"Dolmen du Pré de Linar";"9445";"Dolmen";"Brengues";"46";" N44.55549 E1.84233";"44.55549";"1.84233";"560706,500210204";"1950629,36823548"
"DLPU40 0";"Dolmen du Puech d'Arsou";"32237";"Dolmen";"Corn";"46";" N44.6096602 E1.8786875";"44.6096602";"1.8786875";"563632,18313092";"1956635,06223566"
"DLPU50 0";"Dolmen du Puech Roussille";"32264";"Dolmen";"Béduer";"46";" N44.562782 E1.9184798";"44.562782";"1.9184798";"566764,997152945";"1951404,99663266"
"DLPUE0-0";"Dolmen du Puech de Récobert";"9436";"Dolmen";"Castelfranc";"46";" N44.51418 E1.21889";"44.51418";"1.21889";"511077,368245304";"1946545,00856453"
"DLPUE1-0";"Dolmen du Puech Roussel";"9391";"Dolmen";"Assier";"46";" N44.65436 E1.88361";"44.65436";"1.88361";"564051.844915925";"1961602,88245321"
"DLQUAT+3";"Dolmen de Pech Linar";"9834";"Dolmen";"Saint-Jean-de-Laur";"46";" N44.43036 E1.81417";"44.43036";"1.81417";"558375,099049978";"1936730,01554857"
"DLRAST-4";"Dolmen du Mas Rastouillet";"22419";"Dolmen";"Lugagnac";"46";" N44.4225631 E1.7377456";"44.4225631";"1.7377456";"552279,000701744";"1935906,49787922"
"DLRESS-3";"Dolmen de Ressegayre";"11636";"Dolmen";"Floirac";"46";" N44.90161 E1.67226";"44.90161";"1.67226";"547511.045000832";"1989211.2048836"
"DLRIG0+4";"Dolmen de Rigou";"23438";"Dolmen";"Saint-Projet";"46";" N44.7580556 E1.4978611";"44.7580556";"1.4978611";"533561.069318781";"1973383,55350322"
"DLROLA-2";"Dolmen de Roland";"13026";"Dolmen";"Montcuq";"46";" N44.36747 E1.18969";"44.36747";"1.18969";"508516,186568515";"1930265,98792758"
"DLROQE 0";"Dolmen des Roques (B)";"33412";"Dolmen";"Durbans";"46";" N44.6893868 E1.7984821";"44.6893868";"1.7984821";"557322,49759594";"1965539,99806489"
"DLROU5+3";"Dolmen de la Rougié";"11647";"Dolmen";"Livernon";"46";" N44.66149 E1.82055";"44.66149";"1.82055";"559052,39461962";"1962426,53069428"
"DLROUC-0";"Dolmen de Roucous";"9392";"Dolmen";"Saint-Simon";"46";" N44.71056 E1.83035";"44.71056";"1.83035";"559865,239693248";"1967877,31195872"
"DLSABA-2";"Dolmen de Sabadel";"31826";"Dolmen";"Miers";"46";" N44.8619311 E1.6872947";"44.8619311";"1.6872947";"548662,497419256";"1984789,99885394"
"DLSADO-0";"Dolmen de Sadouilles";"32272";"Dolmen";"Flaujac-Gare";"46";" N44.7088735 E1.7523303";"44.7088735";"1.7523303";"553678,162958027";"1967732,7620293"
"DLSAL0-3";"Dolmen d'Escurettes";"11629";"Dolmen";"Padirac";"46";" N44.85507 E1.74405";"44.85507";"1.74405";"553144.32003113";"1983991.72293366"
"DLSALV-4";"Dolmen d'Andrieu";"11628";"Dolmen";"Padirac";"46";" N44.85634 E1.74142";"44.85634";"1.74142";"552937,413023981";"1984134,48943917"
"DLTAB7*4";"Dolmen dit la Table de Roux";"9390";"Dolmen";"Assier";"46";" N44.66933 E1.85849";"44.66933";"1.85849";"562068,368942264";"1963279,16695391"
"DLTER0 0";"Dolmen du Terrou";"32256";"Dolmen";"Gramat";"46";" N44.775666 E1.762347";"44.775666";"1.762347";"554526,658700565";"1975152,9922737"
"DLTOMH-2";"Dolmen dit le Tombeau du Gaulois";"32215";"Dolmen";"Saint-Sozy";"46";" N44.8851389 E1.5605";"44.8851389";"1.5605";"538662,576998604";"1987461.0646534"
"DLTOUI 0";"Dolmen de Touron";"32235";"Dolmen";"Lavercantière";"46";" N44.621022 E1.298861";"44.621022";"1.298861";"517596,467698416";"1958336,81395036"
"DLTRGA 0";"Dolmen de Trégantou";"22427";"Dolmen";"Vers";"46";" N44.50442 E1.56696";"44.50442";"1.56696";"538758,314922786";"1945127,07989142"
"DLVAND+3";"Dolmen de Vandourgues";"9433";"Dolmen";"Gréalou";"46";" N44.52777 E1.85413";"44.52777";"1.85413";"561625,695391026";"1947541.26820365"
"DLVAVA*4";"Dolmen de Vavaire";"11622";"Dolmen";"Varaire";"46";" N44.35872 E1.73214";"44.35872";"1.73214";"551777,634122662";"1928810,54994014"
"DLVAY3-3";"Dolmen des Vayssières";"30730";"Dolmen";"Saillac";"46";" N44.342114 E1.7385415";"44.342114";"1.7385415";"552274,286166708";"1926960,0055155"
"DLVER8-3";"Dolmen du Verdier (A)";"23463";"Dolmen";"Cajarc";"46";" N44.5166111 E1.8643889";"44.5166111";"1.8643889";"562434,25089899";"1946295,50402819"
"DLVERD-4";"Dolmen du Verdier";"11646";"Dolmen";"Durbans";"46";" N44.67695 E1.78272";"44.67695";"1.78272";"556062,59456078";"1964165,91132743"
"DLVERI 0";"Dolmen du Verdier (B)";"33241";"Dolmen";"Cajarc";"46";" N44.51305 E1.85129";"44.51305";"1.85129";"561389,67544528";"1945905,88613637"
"DLVERJ 0";"Dolmen du Verdier (C)";"33242";"Dolmen";"Cajarc";"46";" N44.5148858 E1.8518178";"44.5148858";"1.8518178";"561432,929628557";"1946109,75713772"
"LHPEYR+2";"Cromlech de Peyrebrune";"32949";"Cromlech";"Saint-Projet";"46";" N44.7318 E1.4986";"44.7318";"1.4986";"533588,454489365";"1970463,88357604"
"LHROQ0-4";"Cromlech de Roquebert";"9438";"Cromlech";"Junies";"46";" N44.52212 E1.2219";"44.52212";"1.2219";"511329,357444933";"1947424,41463144"
"MALASP-4";"Menhirs de Lasplanes";"28471";"Menhirs alignés";"Castelnau-Montratier";"46";" N44.2697 E1.35389";"44.2697";"1.35389";"521477,338102775";"1919216,48751322"
"MHCHA8 X";"Menhir de Mons";"9387";"Menhir";"Assier";"46";" N44.68232 E1.85885";"44.68232";"1.85885";"562105,722409313";"1964723,29528647"
"MHLE05-4";"Menhir dit la Pierre Levée";"23440";"Menhir";"Saint-Vincent-Rive-d'Olt";"46";" N44.45002 E1.27984";"44.45002";"1.27984";"515830,312621955";"1939344.06046333"
"MHLEV6*5";"Menhir dit Pierre Levée";"9385";"Menhir";"Livernon";"46";" N44.63531 E1.85885";"44.63531";"1.85885";"562073,910913883";"1959496,41456146"
"MHMAY0*3";"Menhir de Mayrac (B)";"23430";"Menhir";"Mayrac";"46";" N44.9057369 E1.5233629";"44.9057369";"1.5233629";"535751.176376376";"1989780,67284314"
"MHMAYR*3";"Menhir de Mayrac";"11621";"Menhir";"Mayrac";"46";" N44.8907792 E1.5194373";"44.8907792";"1.5194373";"535423,731974859";"1988121.02588519"
"MHMO09-4";"Menhir de Montgesty";"11617";"Menhir";"Montgesty";"46";" N44.56912 E1.3031212";"44.56912";"1.3031212";"517858,824771932";"1952561.76729722"
"MHSA11+2";"Menhir de Saillac";"23458";"Menhir";"Saillac";"46";" N44.33183 E1.75731";"44.33183";"1.75731";"553763,659423994";"1925805,15570207"
"MHSUQU 3";"Menhir du Suquet";"11620";"Menhir";"Corn";"46";" N44.60445 E1.87219";"44.60445";"1.87219";"563112,679600709";"1956058,77528529"
"MUDEVZ 0";"Dolmen de la Devèze-sud";"9418";"Museum";"Marcilhac-sur-Célé";"46";" N44.54648 E1.75537";"44.54648";"1.75537";"553785,502962455";"1949674,88926269"
"TMGRAM+2";"Tumulus dit l'Etron de Gargantua";"9443";"Tumulus";"Gramat";"46";" N44.78076 E1.75368";"44.78076";"1.75368";"553844.512865057";"1975724,39929246"
"TMLATH-0";"Tumulus de Lathaillade";"11643";"Tumulus";"Castelnau-Montratier";"46";" N44.28461 E1.35037";"44.28461";"1.35037";"521216,897847374";"1920878,03215783"

