"IDSite";"NomSite";"NumSite";"Type";"Commune";"Departement";"Coord.Value";"Latitude";"Longitude";"MetriqueX";"MetriqueY"
"DLCLO5-2";"Dolmen dit la Pierre Levée";"22418";"Dolmen";"Sauliac-sur-Célé";"46";" N44.516316 E1.7414618";"44.516316";"1.7414618";"552654,164737022";"1946329,17101791"
"DLCLO8X0";"Dolmen du Cloup de Coutze";"32243";"Dolmen";"Béduer";"46";" N44.5814 E1.94694";"44.5814";"1.94694";"569037,677113825";"1953463,52302536"
"DLCO15-0";"Dolmen de Combescure";"13027";"Dolmen";"Fontanes-du-Causse";"46";" N44.67142 E1.63968";"44.67142";"1.63968";"544709,700736139";"1963641.44641674"
"DLCO20-0";"Dolmen de Costeraste";"23435";"Dolmen";"Gourdon";"46";" N44.70599 E1.34376";"44.70599";"1.34376";"521281.104534439";"1967737,4319916"
"DLCO23+3";"Dolmen de la Combe de Saule (B)";"23462";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.54027 E1.81453";"44.54027";"1.81453";"558485,057043574";"1948951.3318612"
"DLCO24-3";"Dolmen de la Combe de Saule (A)";"23460";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.5418453 E1.8133511";"44.5418453";"1.8133511";"558392,472900654";"1949127,11745465"
"DLCOM0-3";"Dolmen de la Combe du Cornier";"9440";"Dolmen";"Beauregard";"46";" N44.36862 E1.77382";"44.36862";"1.77382";"555110,799586765";"1929886,73603112"
"DLCOME+2";"Dolmen de la Combe de Saule (C)";"30667";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.53853 E1.81512";"44.53853";"1.81512";"558530,691424186";"1948757,54499896"
"DLCOMF-3";"Dolmen de Combe Nègre";"30726";"Dolmen";"Lugagnac";"46";" N44.4124952 E1.7076466";"44.4124952";"1.7076466";"549871.429138791";"1934805,71684137"
"DLCOMG-3";"Dolmen de la Combe de Pary";"30727";"Dolmen";"Beauregard";"46";" N44.3672138 E1.7620938";"44.3672138";"1.7620938";"554174,289747314";"1929737,13826621"
"DLCOMR 0";"Dolmen des Combarols";"32273";"Dolmen";"Durbans";"46";" N44.691754 E1.787947";"44.691754";"1.787947";"556488,760686833";"1965808,97676513"
"DLCOMU+2";"Dolmen de la Combe de l'Ours (A)";"32747";"Dolmen";"Montbrun";"46";" N44.5295278 E1.8988889";"44.5295278";"1.8988889";"565187,029930889";"1947715,85665555"
"DLCOMV+2";"Dolmen de la Combe de l'Ours (B)";"32748";"Dolmen";"Montbrun";"46";" N44.52625 E1.8996667";"44.52625";"1.8996667";"565246,867489357";"1947351.04055625"
"DLCOUS+4";"Dolmen du Coustalou";"9402";"Dolmen";"Grèzes";"46";" N44.62496 E1.81366";"44.62496";"1.81366";"558478,596100764";"1958368,48869644"
"DLCROU 0";"Dolmen dit de Crouzeilles";"9423";"Dolmen";"Saillac";"46";" N44.33747 E1.72537";"44.33747";"1.72537";"551219,122608772";"1926451.67183908"
"DLCUNE+4";"Dolmen du Cune";"9432";"Dolmen";"Marcilhac-sur-Célé";"46";" N44.53694 E1.813359";"44.53694";"1.813359";"558389,465864042";"1948581.6805718"
"DLCUZ0-0";"Dolmen du Cuzoul (B)";"11641";"Dolmen";"Lalbenque";"46";" N44.3068 E1.60863";"44.3068";"1.60863";"541870,439338746";"1923120,5236746"
"DLCUZO-0";"Dolmen du Cuzoul (A)";"11640";"Dolmen";"Lalbenque";"46";" N44.30726 E1.60553";"44.30726";"1.60553";"541623,370396713";"1923173,97704088"
"DLDAGA-4";"Dolmen d'Agranel";"9413";"Dolmen";"Limogne-en-Quercy";"46";" N44.41602 E1.78491";"44.41602";"1.78491";"556032,456290897";"1935151.37218414"
"DLDAU0+4";"Dolmen d'Aubiac";"9831";"Dolmen";"Calvignac";"46";" N44.43555 E1.80829";"44.43555";"1.80829";"557910,463654621";"1937310,27131084"
"DLDAU1-4";"Dolmen d'Auraste";"29553";"Dolmen";"Loubressac";"46";" N44.8519178 E1.8039192";"44.8519178";"1.8039192";"557876,341542572";"1983607,34535166"
"DLDAU3-3";"Dolmen d'Aubiac (B)";"31705";"Dolmen";"Saint-Jean-de-Laur";"46";" N44.4336688 E1.8103174";"44.4336688";"1.8103174";"558070,589900642";"1937099,99985205"
"DLDAUB-3";"Dolmen d'Aubin";"9424";"Dolmen";"Saint-Chels";"46";" N44.5468496 E1.8132368";"44.5468496";"1.8132368";"558387,092977452";"1949683,61742429"
"DLDIN0-2";"Dolmen du Camp d'Inou Tou (B)";"33244";"Dolmen";"Cajarc";"46";" N44.5007778 E1.8653056";"44.5007778";"1.8653056";"562496,611643044";"1944534,48664459"
"DLDIN1-1";"Dolmen du Camp d'Inou Tou (C)";"33245";"Dolmen";"Cajarc";"46";" N44.5010278 E1.8638333";"44.5010278";"1.8638333";"562379,612206265";"1944562,98999104"
"DLDINO-2";"Dolmen du Camp d'Inou Tou (A)";"33243";"Dolmen";"Cajarc";"46";" N44.5016944 E1.8630833";"44.5016944";"1.8630833";"562320,373978034";"1944637,47239455"
"DLDIR0-3";"Dolmen de Dirau (A)";"30731";"Dolmen";"Varaire";"46";" N44.3444267 E1.7339341";"44.3444267";"1.7339341";"551908,569257207";"1927219,99653169"
"DLDIRA-2";"Dolmen des Sanguinades";"9421";"Dolmen";"Saillac";"46";" N44.3417162 E1.7409802";"44.3417162";"1.7409802";"552468,569698852";"1926914,28946471"
"DLDO24-0";"Dolmen du Cun";"9441";"Dolmen";"Larnagol";"46";" N44.51115 E1.77506";"44.51115";"1.77506";"555323,066332599";"1945735,05571109"
"DLDO25-3";"Dolmens du Mas de Labat";"9398";"Dolmen";"Cénevières";"46";" N44.44472 E1.73253";"44.44472";"1.73253";"551882,321263719";"1938373,47870938"
"DLDO26 4";"Dolmens de Gabaudet";"9405";"Dolmen";"Issendolus";"46";" N44.7148336 E1.7516284";"44.7148336";"1.7516284";"553627,449405467";"1968395,83738847"
"DLDOLG 0";"Dolmen de la Rue";"32254";"Dolmen";"Rocamadour";"46";" N44.83704 E1.64104";"44.83704";"1.64104";"544980,697717895";"1982054,04731457"
"DLDOLO-0";"Dolmen du Rat";"32270";"Dolmen";"Saint-Sulpice";"46";" N44.5811758 E1.7823353";"44.5811758";"1.7823353";"555956,89839351";"1953517,241161"
