Nom dolmen;Lieu, autres noms;Commune ;IGN;OSM;Etat;Lat. N (°);Long. E (°);UTM Nord;UTM Est;Vérif.;Classement;Tumulus;Orthostats;Table;Remarques;Pages Web;T4T35;Mahenc;Photos;Explications
D. du Cloup Caoud 1;Le Cun;Livernon;-;+;tO;44.63373 ;1.87792;4942872;411003;ok;;restes;2;non;Murette au chevet;wiki;;T1 p139;oui;
Tumulus;Bois bas;Livernon;-;+;T;44.63161 ;1.88816;4942630;411810;ok;;oui;;;;;;;;
D. du Mas de Tourel;;Livernon;;+;O;44.62885 ;1.85263;4942362;408988;;;non;2, 1 couché;non;;wiki;;;;
D. du Pouzat;Pech Peyrou;Livernon;+;+;C;44.62110 ;1.87010;4941482;410362;;inscrit MH;non;oui;oui;;wiki;Descr;T1 p134;oui;
D. de Boudoulou;;Livernon;;;O;;;;;;;non;2 inégaux;non;;;;;;
D. de la Boyme;;Livernon;;;TO(c);;;;;;;oui;oui;Morceaux;;;;;;
D. du Pech Plumet (B);;Loubressac;-;+;4O;44.85461 ;1.77495;4967530;403203;;;traces;4;non;Double;wiki;Descr;;;
D. du Pech Plumet (A);;Loubressac;+;+;C;44.85413 ;1.76968;4967483;402786;;;non;oui;oui;Vestibule;wiki;Descr;;oui;
D. d'Auraste;;Loubressac;-;+;C;44.85192 ;1.80392;4967197;405488;;;non;oui;oui;;wiki;Descr;;;
D. Cayrou de l'Homme Mort;Gintrac;Loubressac;;;T1O;44.87318;1.7591;4969611;401982;;;oui;1;non;;Viré;;;;
D. de Croix Hélène;D. des Breilles;Loubressac;;;;44.86028;1.765833;4968170;402492;;;;;;;Viré;;;;
D. de Siran;;Loubressac;;;C;;;;;;;non;2,1 couché;oui;;Clottes;;;;
D. de la Terre de Lacoste;;Loubressac;;;;;;;;;;;;;;;;;;
D. de Combes-Hautes;Pailhes Nord;Marcilhac;+;;C;44.56738 ;1.76238;4935639;401725;;;non;oui;oui;;;Descr;T2 p124;oui;
D. de Pourquayré;;Marcilhac;-;;T;44.55428 ;1.79511;4934145;404303;;;oui;;non;2 dolmens;;Descr;;;
D. du Mas de Jean Blanc;Métaierie haute;Marcilhac;+;+;C;44.55155 ;1.80261;4933833;404894;ok;;non;oui;oui;;wiki;Descr;T2 p114;oui;
D. de Péchaud;Borie-Haute, bout de la Combe;Marcilhac;+;+;tO;44.54799;1.80078;4933439;404743;ok;;restes;2;non;;;Descr;T2 p126;oui;
D. du Cloup de Payrol;;Marcilhac;-;+;TO;44.54775;1.79427;4933420;404225;ok;;oui;oui;non;;;;;oui;
D. de la Devèze-sud;;Marcilhac;-;+;T C;44.54648 ;1.75537;4933325;401133;ok;inscrit MH;oui;oui;oui;;Clottes;;T2 p134;oui;
D. de la Combe de Sole 3;n°1 Clottes;Marcilhac;-;+;C;44.54187;1.81352;4932745;405745;ok;;non;oui;oui;petit dolmen;wikipedia;Descr;T2 p132;oui;
D. de la Combe de Sole 2;;Marcilhac;-;+;T C;44.54031;1.81450;4932570;405820;ok;inscrit MH;oui;oui;oui;grand dolmen;wikipedia;Descr;T2 p128;oui;
D. de la Combe de Sole 1;n°3 Clottes;Marcilhac;-;+;tc;44.53856;1.81511;4932375;405866;ok;;restes;oui;oui;Dolmen écroulé;wikipedia;Descr;T2 p130;oui;
D, de Cune;D. de Majourals;Marcilhac;+;+;t C;44.53694 ;1.81323;4932197;405713;ok;;restes;oui;oui;carrefour D17;wiki;Descr;T2 p128;oui;
D. dit Peyrebru;;Miers;+;;t C;44.8835 ;1.69624;4970836;397036;;;restes;oui;oui;;;Descr;T1 p96;;
D. de Fieux 2;;Miers;+;+;T C;44.87967 ;1.69364;4970413;396824;;;oui;oui;oui;2 dol.;;Descr;T1 p93;;
D. de Fieux 1;;Miers;;;O;;;;;;;Traces;oui;non;;;;;;
D. de Gniars;D. de Ferrières;Miers;+;;O;44.87693 ;1.70341;4970097;397590;;;non;oui;non;;;Descr;T1 p100;;
D. du Pech des Auques;;Miers;;;;44.87389;1.67222;4969799;395121;;;;;;;wikipedia;;;;
D. de Barrières 1;;Miers;+;;t O;44.87132 ;1.69316;4969487;396771;;;non;oui;non;;;Descr;T1 p88;;
D. de Barrières 2;;Miers;;;C;44.87002;1.68995;4969346;396515;;;non;oui;oui;;wiki;Descr;;;
D. dit la Pierre-Levée;Barrières 3;Miers;+;;t C;44.8688 ;1.68375;4969219;396023;;inscrit MH;restes;oui;oui;;;Descr;T1 p90;;
